BHK,Rent,Size,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
2,8000,1000,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1
1,6000,220,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1
1,8000,300,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1
1,6000,300,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1
1,20000,700,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1
3,12000,800,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2
3,15000,1600,Garia,Kolkata,Unfurnished,Bachelors/Family,2
2,14000,1000,Kasba,Kolkata,Unfurnished,Bachelors/Family,2
1,5000,20,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1
2,7000,400,chatana,Kolkata,Unfurnished,Bachelors/Family,1
1,3900,200,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1
3,14000,840,Mukundapur,Kolkata,Unfurnished,Bachelors,2
1,6300,300,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1
2,13000,550,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2
1,6800,300,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1
2,8000,800,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2
2,10000,740,Sonarpur,Kolkata,Unfurnished,Bachelors,1
2,18000,1300,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2
2,8000,650,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1
2,8000,490,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1
1,4700,250,Kaikhali,Kolkata,Furnished,Bachelors/Family,1
1,4700,250,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1
1,4500,450,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1
1,6000,300,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1
2,16000,750,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2
1,4700,250,Kaikhali,Kolkata,Furnished,Bachelors/Family,1
2,14000,751,Baghajatin,Kolkata,Unfurnished,Bachelors,1
2,9000,900,Lake Town,Kolkata,Semi-Furnished,Bachelors,1
2,5000,400,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1
2,17500,1000,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2
2,8500,1000,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1
3,15000,1500,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2
2,12500,750,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2
1,13000,1200,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1
2,8000,700,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1
2,8000,700,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1
2,8000,1000,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1
2,7000,1200,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2
2,2200,550,Behala silpara,Kolkata,Furnished,Bachelors/Family,1
2,8000,800,Vip Road,Kolkata,Unfurnished,Bachelors,1
2,5500,280,New Barrakpur,Kolkata,Unfurnished,Bachelors,1
3,20000,1100,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3
2,7000,950,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1
1,3500,250,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1
2,5000,1000,Hindmotor,Kolkata,Unfurnished,Bachelors,1
3,20000,1000,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2
2,7000,650,Howrah,Kolkata,Unfurnished,Bachelors/Family,1
2,10000,700,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2
2,7000,700,Baguiati,Kolkata,Unfurnished,Bachelors,1
3,12000,1000,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2
2,14500,900,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2
1,6000,700,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1
2,9500,700,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2
2,10000,450,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2
1,3500,120,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1
2,9000,800,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2
3,40000,1220,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2
3,16500,1100,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1
3,8000,700,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2
2,12000,800,Santoshpur,Kolkata,Furnished,Bachelors/Family,1
2,6500,670,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1
4,40000,1300,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3
1,5000,190,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1
2,9000,700,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1
1,7000,240,Jadavpur,Kolkata,Unfurnished,Bachelors,1
2,18000,850,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1
1,9000,950,Haltu,Kolkata,Unfurnished,Bachelors/Family,2
1,5500,450,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1
2,7500,800,Bonhooghly,Kolkata,Unfurnished,Bachelors,1
2,4000,600,Nilgung Old Bazar,Kolkata,Unfurnished,Bachelors/Family,1
3,10500,800,"Teghoria, Baguiati",Kolkata,Unfurnished,Bachelors,2
3,15000,1100,Survey Park,Kolkata,Unfurnished,Bachelors/Family,2
2,15000,800,Baguiati,Kolkata,Furnished,Bachelors/Family,1
1,50000,2200,Kanchrapara,Kolkata,Furnished,Bachelors/Family,3
2,12000,950,"Jote Shibrampur, Joth Shibrampur",Kolkata,Unfurnished,Bachelors,2
2,11000,550,Ultadanga,Kolkata,Unfurnished,Bachelors/Family,1
2,12000,1800,Birati,Kolkata,Unfurnished,Bachelors,2
2,8000,1000,"Chinar Park, Rajarhat",Kolkata,Furnished,Bachelors/Family,1
2,18000,600,Bagha Jatin Pally,Kolkata,Semi-Furnished,Bachelors/Family,2
2,8000,750,rishi aurobindo sarani neat NIOH hospital,Kolkata,Semi-Furnished,Bachelors/Family,2
2,7000,685,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1
1,6500,44,Baranagar,Kolkata,Furnished,Bachelors/Family,1
4,13000,1200,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,1
2,9000,500,Airport Near Gate No. 21/2,Kolkata,Unfurnished,Bachelors,1
4,10000,1110,Purbasa,Kolkata,Unfurnished,Bachelors/Family,2
2,12000,1000,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2
2,5000,392,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1
2,6000,700,Barasat-Barrackpore Road,Kolkata,Unfurnished,Bachelors/Family,1
1,5200,750,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,1
3,15000,1500,"Biren Roy Road (W) Chowrashtra Behala, Raja Rammohan Roy Road",Kolkata,Unfurnished,Family,2
2,9000,900,Keshtopur,Kolkata,Unfurnished,Bachelors/Family,2
1,24000,710,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors,1
1,5500,400,jadavpur central park east,Kolkata,Unfurnished,Bachelors/Family,1
1,10000,700,Garia,Kolkata,Unfurnished,Bachelors,1
2,15000,1000,Tn Chatterjee Street,Kolkata,Semi-Furnished,Bachelors/Family,1
1,4700,250,Kaikhali,Kolkata,Furnished,Bachelors/Family,1
1,5000,500,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1
2,5000,450,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1
3,15000,1400,Survey Park,Kolkata,Unfurnished,Bachelors/Family,1
1,5000,500,Bata Nagar,Kolkata,Semi-Furnished,Bachelors/Family,1
2,6000,700,Hatiara Extention,Kolkata,Unfurnished,Bachelors/Family,1
3,18000,1200,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1
2,8000,450,Andul,Kolkata,Unfurnished,Bachelors,1
1,13000,500,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors,1
2,7500,400,locality,Kolkata,Unfurnished,Bachelors/Family,1
3,12000,1000,Khardah,Kolkata,Unfurnished,Bachelors/Family,2
2,11000,750,Parnasree Pally,Kolkata,Unfurnished,Bachelors,1
1,6000,450,Baghajatin,Kolkata,Unfurnished,Family,1
3,20000,1000,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2
2,7000,500,sarsuna banerjee para,Kolkata,Unfurnished,Bachelors,2
4,30000,1600,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors,2
2,7500,550,Near Seven Tanks Road Dumdum Station,Kolkata,Unfurnished,Bachelors,1
1,6500,550,Jyangra,Kolkata,Unfurnished,Bachelors/Family,2
1,3000,200,Barasat,Kolkata,Unfurnished,Bachelors/Family,1
2,5200,650,Sukchar,Kolkata,Unfurnished,Bachelors,1
2,25000,1000,"Tagore Park, Kasba",Kolkata,Furnished,Bachelors/Family,2
2,12500,680,Barrackpore,Kolkata,Unfurnished,Bachelors/Family,2
2,8500,720,"Silpara, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,2
2,3500,500,Konnagar,Kolkata,Unfurnished,Bachelors,1
2,7000,800,Madhyam Gram,Kolkata,Unfurnished,Bachelors/Family,1
1,3000,160,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,1
2,14000,1200,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,2
1,18000,700,Salt Lake City Sector 3,Kolkata,Furnished,Bachelors/Family,1
1,3500,1000,Dum Dum Cantonment,Kolkata,Semi-Furnished,Bachelors/Family,1
2,16000,1250,Kasba,Kolkata,Unfurnished,Bachelors/Family,2
4,35000,1600,Salt Lake City,Kolkata,Unfurnished,Bachelors/Family,3
2,21000,700,Lake Gardens,Kolkata,Semi-Furnished,Bachelors/Family,1
1,4500,450,"Silpara, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1
2,15000,839,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,2
1,4500,230,Birati,Kolkata,Unfurnished,Bachelors/Family,1
1,5500,1800,Baranagar,Kolkata,Unfurnished,Bachelors/Family,1
2,8500,800,Baguihati,Kolkata,Unfurnished,Bachelors/Family,2
1,5000,500,BRAHMAPUR NEAR BANSDRONI,Kolkata,Semi-Furnished,Bachelors/Family,1
2,8500,620,Kasba,Kolkata,Unfurnished,Bachelors,1
2,9000,650,tollygunge Kabardanga,Kolkata,Unfurnished,Bachelors/Family,1
1,7500,550,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1
2,7000,450,safuipara,Kolkata,Furnished,Bachelors,2
3,15000,1350,"Annapurna Apartment, Rajarhat Chowmatha",Kolkata,Unfurnished,Family,2
2,7000,600,"Park Circus, Ballygunge",Kolkata,Semi-Furnished,Bachelors/Family,2
3,10000,1200,Belghoria,Kolkata,Furnished,Bachelors/Family,1
2,7000,700,"Haridevpur, Paschim Putiary",Kolkata,Unfurnished,Bachelors/Family,1
3,3200,800,Bhawanipur,Kolkata,Furnished,Bachelors/Family,2
2,6000,600,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,1
2,12000,900,Tollygunge,Kolkata,Unfurnished,Bachelors/Family,2
2,6000,750,Behala,Kolkata,Unfurnished,Bachelors/Family,1
3,10000,1250,Jaffarpore Rifle Range Road,Kolkata,Unfurnished,Bachelors/Family,2
3,12000,1000,Dariya,Kolkata,Semi-Furnished,Bachelors/Family,3
2,8000,600,Howrah,Kolkata,Semi-Furnished,Bachelors/Family,1
2,5300,650,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1
2,5000,450,Liluah,Kolkata,Unfurnished,Bachelors,1
3,8500,800,Near DumDum Metro,Kolkata,Unfurnished,Bachelors/Family,2
3,22000,1000,"Sukanta Nagar, New Barrakpur",Kolkata,Semi-Furnished,Bachelors/Family,2
2,7000,1000,"Kumarpara, Narendrapur",Kolkata,Unfurnished,Bachelors/Family,1
3,25000,1400,Salt Lake City,Kolkata,Furnished,Bachelors,3
2,7000,600,Barrackpore,Kolkata,Semi-Furnished,Bachelors,1
2,15000,723,Narendrapur,Kolkata,Furnished,Family,1
1,6000,320,Sahid Nagar,Kolkata,Unfurnished,Bachelors/Family,1
2,8000,900,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,1
3,40000,1400,Salt Lake City Sector 2,Kolkata,Furnished,Bachelors/Family,2
1,6000,2160,Kasba,Kolkata,Semi-Furnished,Bachelors,1
2,15000,650,kasba bosepukur,Kolkata,Semi-Furnished,Bachelors/Family,1
2,6500,800,Kanchrapara,Kolkata,Semi-Furnished,Bachelors/Family,1
3,8000,800,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,1
1,5500,500,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1
3,9000,1700,Panchanantala Road,Kolkata,Semi-Furnished,Bachelors/Family,2
1,6000,130,Bow Bazar,Kolkata,Semi-Furnished,Bachelors/Family,1
1,15000,505,Kasba,Kolkata,Furnished,Bachelors/Family,1
4,30000,4000,"Sakher Bazar, Purba Barisha",Kolkata,Furnished,Bachelors/Family,3
3,30000,1250,New Alipore,Kolkata,Unfurnished,Bachelors/Family,2
1,5000,700,My Own House,Kolkata,Unfurnished,Bachelors/Family,1
2,15000,900,"Park Circus, Ballygunge",Kolkata,Unfurnished,Bachelors,1
1,6500,650,Joka,Kolkata,Semi-Furnished,Bachelors/Family,1
2,4500,750,Azadgarh,Kolkata,Furnished,Bachelors/Family,1
2,7000,450,Mandirtala,Kolkata,Unfurnished,Bachelors/Family,1
1,6500,350,Dhakuria,Kolkata,Semi-Furnished,Bachelors/Family,1
1,17500,480,Rabindra Sarovar Metro,Kolkata,Furnished,Bachelors,2
2,10000,900,Garia,Kolkata,Unfurnished,Bachelors/Family,1
1,1500,200,Santoshpur,Kolkata,Semi-Furnished,Bachelors/Family,1
3,25000,1100,"Regent Estate, Bijoygarh",Kolkata,Unfurnished,Bachelors/Family,3
2,12000,800,Kasba,Kolkata,Unfurnished,Bachelors/Family,1
3,7500,1000,south station pally dankuni,Kolkata,Furnished,Bachelors/Family,2
1,7000,800,Kumargali,Kolkata,Unfurnished,Bachelors/Family,1
1,3500,200,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1
3,10000,1190,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2
2,14000,900,Salt Lake City,Kolkata,Unfurnished,Bachelors,2
2,15000,1500,Garia,Kolkata,Unfurnished,Bachelors/Family,2
2,6500,600,Thakurpukur,Kolkata,Unfurnished,Bachelors/Family,1
3,10000,800,Brahmapur,Kolkata,Unfurnished,Bachelors/Family,1
2,10500,800,Santoshpur,Kolkata,Unfurnished,Family,2
3,10000,900,Garia,Kolkata,Semi-Furnished,Bachelors/Family,2
1,5000,350,Purba Barisha,Kolkata,Semi-Furnished,Bachelors/Family,1
2,9000,800,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1
2,20000,1600,Jadavpur University,Kolkata,Unfurnished,Bachelors,2
3,35000,1012,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2
3,15000,1200,"Pathak Para, Behala",Kolkata,Unfurnished,Bachelors,2
2,20000,700,Salt Lake City Sector 1,Kolkata,Furnished,Bachelors/Family,1
2,12000,1000,Behala,Kolkata,Semi-Furnished,Bachelors/Family,1
2,8000,800,Thakurpukur,Kolkata,Unfurnished,Bachelors,1
1,3000,500,Hatiara,Kolkata,Semi-Furnished,Bachelors/Family,1
3,20000,1200,"Haridevpur, Paschim Putiary",Kolkata,Semi-Furnished,Bachelors,2
1,9000,450,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,1
3,13000,950,"Rabindrapally, Garia",Kolkata,Unfurnished,Bachelors/Family,2
1,7000,350,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1
1,9000,450,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1
1,9000,550,"Bangur Avenue, Lake Town",Kolkata,Semi-Furnished,Bachelors,1
2,10000,300,Keshtopur,Kolkata,Unfurnished,Bachelors,1
3,15000,1250,"Sakher Bazar, Purba Barisha",Kolkata,Semi-Furnished,Bachelors/Family,2
2,7000,700,Garia,Kolkata,Unfurnished,Bachelors/Family,1
3,8000,812,Hooghly,Kolkata,Unfurnished,Bachelors/Family,2
2,8000,550,"Kalabagan, Tollygunge",Kolkata,Unfurnished,Bachelors/Family,1
1,5000,500,Rishra,Kolkata,Semi-Furnished,Bachelors/Family,1
1,14000,320,"Action Area 3, Rajarhat Newtown",Kolkata,Furnished,Bachelors,1
2,5000,600,"Anandapuri, Barrackpore",Kolkata,Unfurnished,Bachelors/Family,1
2,5000,420,Barasat,Kolkata,Unfurnished,Bachelors,1
3,12000,1100,Rabindrapally Kestopur,Kolkata,Unfurnished,Bachelors,1
1,3200,220,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1
2,8500,700,Nungi More,Kolkata,Semi-Furnished,Bachelors/Family,2
3,16000,1200,"Baishnabghata, Garia",Kolkata,Unfurnished,Bachelors/Family,2
2,14000,800,Santoshpur - EM Bypass,Kolkata,Unfurnished,Bachelors/Family,2
1,8000,300,Bansdroni,Kolkata,Furnished,Bachelors,1
2,7000,650,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1
1,8000,600,Garia,Kolkata,Furnished,Bachelors/Family,1
1,3000,350,Belghoria,Kolkata,Unfurnished,Bachelors/Family,1
1,3800,500,Nalta,Kolkata,Unfurnished,Bachelors,1
1,6500,400,"Vivek Nagar, Garfa",Kolkata,Unfurnished,Bachelors/Family,1
3,20000,1750,Kalindi,Kolkata,Semi-Furnished,Bachelors/Family,3
3,30000,1600,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,2
1,8000,300,Salt Lake City Sector 5,Kolkata,Semi-Furnished,Bachelors/Family,1
2,14000,1100,"Survey park, Santoshpur, kolkata",Kolkata,Semi-Furnished,Bachelors/Family,2
2,7200,830,Sodepur,Kolkata,Unfurnished,Bachelors/Family,1
2,7000,600,2 BHK,Kolkata,Semi-Furnished,Bachelors/Family,2
1,7000,500,Baranagar,Kolkata,Unfurnished,Bachelors,2
2,7500,900,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1
2,8500,1250,Barasat,Kolkata,Unfurnished,Family,2
2,12000,700,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors,1
1,8500,850,Dakshineswar,Kolkata,Unfurnished,Bachelors,2
2,9500,550,"Garia Station, Garia",Kolkata,Unfurnished,Bachelors/Family,1
2,7500,550,"New Garia Metro, New Garia",Kolkata,Furnished,Bachelors/Family,2
